comment,Score,k_id
dwzc19j,0.979,1
elspii7,0.958,2
dzn0t8n,0.938,3
dg1sg4o,0.938,4
dtwqj9v,0.938,5
es9ldyh,0.938,6
eij87yl,0.938,7
ecpu1h3,0.938,8
dpz6d3p,0.917,9
dxmqv3a,0.917,10
dfn2vw9,0.917,11
dfvclmf,0.917,12
dqcmkoy,0.917,13
ec1liql,0.917,14
efbiiy8,0.915,15
dao8wkj,0.896,16
dxmquh2,0.896,17
dzlvu5o,0.896,18
e7pgtk4,0.896,19
dihtaup,0.896,20
em0dv6a,0.896,21
ek782h7,0.896,22
dz1v5cf,0.896,23
eem6v2e,0.896,24
enpo9ee,0.894,25
d3lr186,0.875,26
dfmihzj,0.875,27
dfufuvr,0.875,28
dtxjow2,0.875,29
eglbkry,0.875,30
e1un0qm,0.875,31
da7y2dm,0.875,32
e3xz09v,0.875,33
ei53376,0.875,34
esbf1eq,0.872,35
dvftx75,0.87,36
cy767m3,0.867,37
dpz5zce,0.854,38
dgvfy5r,0.854,39
em7sgrf,0.854,40
eoz4rng,0.854,41
eff699o,0.854,42
ejvbsj3,0.854,43
dnqnpvo,0.854,44
dz1wgwp,0.854,45
ep28ctf,0.848,46
eq75xn2,0.848,47
edvgvwi,0.848,48
elt5wjq,0.848,49
e0jxlvf,0.833,50
ejfilg3,0.833,51
cyf0ucy,0.833,52
dfn9nv5,0.833,53
e5gnkda,0.833,54
es9kx3k,0.833,55
dnd4v12,0.833,56
escio6u,0.833,57
ec8dmub,0.833,58
ecqqqyw,0.833,59
elhs9b2,0.833,60
ev5wt5d,0.833,61
dr18esn,0.833,62
diauldk,0.833,63
ew98bkw,0.833,64
df8nyy3,0.83,65
e45yho7,0.83,66
e7wrwmd,0.826,67
ejftbev,0.812,68
cz6deld,0.812,69
dvxfrnp,0.812,70
ejbmolv,0.812,71
dg4vlhp,0.812,72
d7taavq,0.812,73
dovquax,0.812,74
dzj4wqm,0.812,75
e3on5jl,0.812,76
e3p2q06,0.812,77
eft4o4z,0.812,78
eoz8bp1,0.812,79
douilmu,0.812,80
duwkmjc,0.812,81
dwmp2h2,0.812,82
e2w08ay,0.812,83
erp7awd,0.812,84
eb2nn7n,0.812,85
eeqjv7h,0.812,86
eujr917,0.812,87
ddigpn5,0.809,88
eigcnxn,0.809,89
d8q5zbq,0.804,90
dihrb15,0.804,91
czgyczx,0.792,92
dc6941v,0.792,93
dv9i8en,0.792,94
d8kmr9y,0.792,95
d3lgdau,0.792,96
d6h6ity,0.792,97
dow53z1,0.792,98
dschohf,0.792,99
e3p1dkp,0.792,100
ekh2eu8,0.792,101
e6df2ze,0.792,102
eb5f53i,0.792,103
ep8tmfb,0.792,104
ev5zaup,0.792,105
easroza,0.792,106
ec4xau7,0.792,107
ek7xa70,0.792,108
e3xnscp,0.792,109
eas6oyk,0.792,110
eoebuo1,0.792,111
eukphre,0.792,112
eouiev7,0.787,113
d7klzht,0.787,114
ec0erdz,0.787,115
exrywau,0.787,116
e4xijnz,0.783,117
dtxd2pj,0.773,118
enlrwhp,0.771,119
ej66fpp,0.771,120
dzhp8fy,0.771,121
dzhva8o,0.771,122
dzj2949,0.771,123
dzpbsjc,0.771,124
ep8j79s,0.771,125
ejqzifo,0.771,126
emtt812,0.771,127
emu72gy,0.771,128
dd17i5c,0.771,129
dm6pf13,0.771,130
efa40em,0.771,131
eh5i22x,0.771,132
etw4i9e,0.771,133
e8aosmm,0.766,134
elq20ds,0.766,135
dfvcjne,0.761,136
eortob9,0.761,137
dtfntd1,0.761,138
eb6qj8e,0.75,139
czgp5e2,0.75,140
dss5u5n,0.75,141
dfmufvt,0.75,142
dzhrrao,0.75,143
esbvp07,0.75,144
e88kh50,0.75,145
eebj6y5,0.75,146
e2v9h4b,0.75,147
eimkfwl,0.75,148
dz2zln9,0.75,149
e96ampy,0.75,150
efapipv,0.75,151
eb5tkke,0.745,152
ec6szh7,0.745,153
ex0v4ce,0.745,154
eglcryh,0.739,155
eozu37v,0.739,156
easg5rt,0.739,157
egvhsjh,0.739,158
d0n8w7m,0.729,159
d87gjqc,0.729,160
d7thy8q,0.729,161
dvftech,0.729,162
e88ce9z,0.729,163
