comment_id,post_id,offensiveness_score
cza1q49,42g75o,-0.083
cza1wdh,42g75o,-0.022
cza23qx,42g75o,0.167
cza2bw8,42g75o,-0.146
cza2iji,42g75o,-0.083
cza2jj3,42g75o,-0.042
cza31e2,42g75o,-0.021
cza321d,42g75o,-0.021
cza336e,42g75o,0.208
cza34dq,42g75o,-0.191
cza3500,42g75o,-0.229
cza37ue,42g75o,-0.174
cza3802,42g75o,0.021
cza392y,42g75o,-0.229
cza3avu,42g75o,-0.167
cza3cmh,42g75o,0.188
cza3m1b,42g75o,0
cza3r5u,42g75o,0.098
cza3tqm,42g75o,-0.064
cza444z,42g75o,0.085
cza47sd,42g75o,-0.083
cza47xu,42g75o,-0.062
cza4c21,42g75o,0.146
cza4d2a,42g75o,-0.062
cza4gsv,42g75o,-0.021
cza4ldq,42g75o,-0.083
cza4pr1,42g75o,0.188
cza5maz,42g75o,-0.188
cza6q74,42g75o,0.083
cza6wrd,42g75o,-0.104
cza72cv,42g75o,-0.271
cza76eq,42g75o,0.188
cza79u4,42g75o,0.175
cza7gpu,42g75o,0
cza8437,42g75o,0.042
cza882y,42g75o,-0.354
cza8lst,42g75o,-0.042
cza8rfm,42g75o,0.417
cza8whl,42g75o,-0.417
cza910x,42g75o,-0.042
cza9u51,42g75o,-0.109
czaacrg,42g75o,-0.458
czabx13,42g75o,0.083
czaeclj,42g75o,0.083
czagngx,42g75o,0.292
czam31j,42g75o,-0.104
czatwk3,42g75o,-0.104
czjeljo,43mz3n,0.104
czjenf6,43mz3n,-0.125
czjep9r,43mz3n,-0.146
czjeqwm,43mz3n,0.188
czjevym,43mz3n,-0.042
czjew3p,43mz3n,-0.188
czjex5r,43mz3n,-0.021
czjf1kj,43mz3n,0.191
czjf4e2,43mz3n,0.167
czjf6jq,43mz3n,-0.062
czjf9es,43mz3n,-0.043
czjfc9s,43mz3n,0.25
czjg2mx,43mz3n,0.021
czjg3r8,43mz3n,-0.125
czjg5d8,43mz3n,-0.681
czjg836,43mz3n,-0.043
czjg9g7,43mz3n,-0.261
czjgxgu,43mz3n,-0.146
czjhr7r,43mz3n,-0.106
czjhwkq,43mz3n,0.022
czjjjyo,43mz3n,-0.085
czjjwfs,43mz3n,-0.087
czjmxqf,43mz3n,0.021
czjod9c,43mz3n,0.104
czjox1l,43mz3n,0.021
